connector	count
KMT2A_PLXNB3	1
KMT2A_PLXNB2	1
SH2B1_GNPDA2	4
GP1BB_VWF	7
BCL2_GPX1	1
EGFR_ARAF3P	1
MSH5_SAPCD1	2
ORM1_VKORC1	2
ESR1_SMARCE1	2
CR1_CXADR	1
SNORD30_SNORD28	2
CAV1_GLP1R	1
SNORD30_SNORD27	2
SNORD30_SNORD26	2
CRX_EP300	1
MMP1_RB1	1
SNORD30_SNORD25	2
SNORD30_SNORD22	2
GRK5_PRKCD	1
TGFA_WNT6	1
CCND1_BRCA2	2
RB1_TOP2A	1
PTAFR_TYK2	1
PAFAH1B1_TUBG1	1
ERG_HIST1H3F	1
GFM2_GFM1	3
XRCC6_NFE2L2	1
SYNM_KRT77	1
CCND1_BRCA1	3
CSN3_RNLS	1
SYNM_KRT74	1
GRK5_PRKCA	1
IL13RA2_FOSL1	1
APC_ANAPC2	2
SYNM_KRT78	1
SYNM_KRT79	1
NPM1_TPT1	1
UGT2B4_UGT2B7	8
HAS2_HYAL1	1
GNA12_PPP5C	1
HAS2_HYAL2	1
DAXX_TSG101	1
LPL_PCSK9	2
SYNM_KRT6C	1
CDKN1B_DDX11	1
ERG_HIST1H3C	1
ERG_HIST1H3A	1
ERG_HIST1H3B	1
RHOA_GNAQ	4
PLA2G4C_PLA2G4B	2
COMT_OGG1	1
MKI67_CBX5	2
MKI67_CBX3	2
MKI67_CBX1	1
APOE_CYP1B1	1
POLI_ESCO1	1
C14orf1_SYNE1	1
C14orf1_SYNE2	1
AGTR1_OLR1	1
SIT1_LIME1	1
CSF2_SDC2	1
TLR4_SFTPA1	1
FGB_IL6	8
PC_PROCR	1
UGT2B4_UGT2A1	1
ADRB2_AGTR1	7
CDKN1C_PCNA	3
KLK4_KLK15	1
RHOG_PARD6B	1
FOS_RARB	1
NOX3_FANK1	1
UBC_TP63	1
TUBB7P_TUBB8	2
MXD1_MYC	8
CDH1_MIR200A	1
GOLPH3L_GOLPH3	1
ASIP_POMC	3
ADRA1A_LMOD3	1
JUNB_MAPK1	1
IKBKG_CFLAR	1
PLA2G4C_PLA2G2D	1
JUNB_MAPK8	4
CDH1_DAPK1	3
RALGAPB_RALGAPA2	2
CDH1_DAPK2	1
CCKBR_COMT	1
JUNB_MAPK9	2
TAP2_IFI44	1
PBX3_PPP6C	1
APOE_CYP1A1	2
CHD3_HABP4	1
HLA-G_PSORS1C1	1
LIN7A_MPP7	1
LIN7A_MPP5	2
LIN7A_MPP6	2
SMC5_RMI1	1
RUVBL1_FILIP1L	1
CD4_MAPK10	1
RALGAPB_RALGAPA1	1
GLI2_ZSCAN22	2
RBBP6_RPS14	1
CAT_PTPN11	1
POU2F1_HIST2H2BE	1
ADRA1A_LMOD2	1
ADRA1A_LMOD1	1
XRCC6_PSIP1	1
E2F3_MED4	1
ADIPOR1_APPL2	1
CDC25B_PEG3	1
IFNG_TNFRSF1B	2
IFNG_TNFRSF1A	2
NGF_ITGB3BP	1
GC_CUBN	1
HLA-C_ZNF311	1
FLT3_LCK	1
CSNK2A2_CTAGE16P	1
FKBP4_GLMN	4
